         27996275 function calls (25060464 primitive calls) in 133.804 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.151    0.151 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\integrals\transforms.py:1(<module>)
     2660    0.002    0.000    0.149    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
   638996    0.147    0.000    0.147    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       47    0.001    0.000    0.147    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:685(draw)
        1    0.144    0.144    0.147    0.147 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\integrals\laplace.py:1(<module>)
      134    0.004    0.000    0.146    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:58(__init__)
   115338    0.071    0.000    0.144    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\linecache.py:26(getline)
       95    0.001    0.000    0.137    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:416(__init__)
     1335    0.119    0.000    0.135    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:258(pointingObj)
        9    0.000    0.000    0.132    0.015 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:2810(plot)
        1    0.000    0.000    0.129    0.129 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\polyfuncs.py:1(<module>)
        1    0.000    0.000    0.128    0.128 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\specialpolys.py:1(<module>)
      301    0.005    0.000    0.128    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\text.py:738(draw)
815821/815379    0.121    0.000    0.125    0.000 {built-in method builtins.len}
       34    0.000    0.000    0.125    0.004 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:2307(gca)
  259/115    0.005    0.000    0.123    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:506(_get_bbox_and_child_offsets)
        1    0.000    0.000    0.123    0.123 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\variables\higher_order_ops.py:1(<module>)
   701456    0.122    0.000    0.122    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.120    0.120 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\onnx\__init__.py:1(<module>)
        1    0.000    0.000    0.118    0.118 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\rings.py:1(<module>)
     1152    0.001    0.000    0.115    0.000 <__array_function__ internals>:177(roots)
        1    0.000    0.000    0.114    0.114 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\printing\__init__.py:1(<module>)
  259/115    0.001    0.000    0.113    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:512(<listcomp>)
     1334    0.098    0.000    0.112    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\HypervolumeUtils.py:28(updateHV)
      104    0.001    0.000    0.110    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:293(draw)
        9    0.000    0.000    0.108    0.012 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_base.py:2937(_update_title_position)
     1152    0.016    0.000    0.108    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\lib\polynomial.py:171(roots)
      100    0.003    0.000    0.107    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\optim\optimizer.py:464(wrapper)
